date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:32	21619/21619	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202025%2014:02:30%20GMT	https://www.hopitaux-sarreguemines.fr/robots.txt		(from )
16:02:32	86135/86135	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202025%2014:02:30%20GMT	https://www.hopitaux-sarreguemines.fr/	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/index.html	(from )
16:02:33	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Jul%202025%2014:02:32%20GMT	http://www.w3.org/1999/xhtml	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.w3.org/1999/xhtml.0.delayed	(from https://www.hopitaux-sarreguemines.fr/)
16:02:33	238/238	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Jul%202025%2014:02:33%20GMT	https://www.w3.org/1999/xhtml	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.w3.org/1999/xhtml.1.delayed	(from https://www.hopitaux-sarreguemines.fr/)
16:02:34	2725/2725	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202016%2014:16:54%20GMT	https://www.w3.org/1999/xhtml/	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.w3.org/1999/xhtml/index.html	(from https://www.hopitaux-sarreguemines.fr/)
16:02:35	33223/33223	---M-Z	200	added ('OK')	text/css	etag:%220b8e1384f9d31:0%22	https://www.hopitaux-sarreguemines.fr/Style/jqueryUI/jquery-ui.css	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Style/jqueryUI/jquery-ui.css	(from https://www.hopitaux-sarreguemines.fr/)
16:02:41	282766/282766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4508e%22	http://code.jquery.com/jquery.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/code.jquery.com/jquery.js	(from https://www.hopitaux-sarreguemines.fr/)
16:02:41	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://www.hopitaux-sarreguemines.fr/)
16:02:41	444933/444933	---MCZ	200	added ('OK')	application/javascript	etag:%22803d971184f9d31:0%22	https://www.hopitaux-sarreguemines.fr/Scripts/jqueryUI/jquery.dataTables.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Scripts/jqueryUI/jquery.dataTables.js	(from https://www.hopitaux-sarreguemines.fr/)
16:02:41	17313/17313	---M-Z	200	added ('OK')	text/css	etag:%220b8e1384f9d31:0%22	https://www.hopitaux-sarreguemines.fr/Style/jqueryUI/jquery.dataTables.css	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Style/jqueryUI/jquery.dataTables.css	(from https://www.hopitaux-sarreguemines.fr/)
16:02:41	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%228028388977ad11:0%22	https://www.hopitaux-sarreguemines.fr/Style/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Style/bootstrap/bootstrap.min.css	(from https://www.hopitaux-sarreguemines.fr/)
16:02:42	7427/7427	---M-Z	200	added ('OK')	text/css	etag:%2230734110eaa9d51:0%22	https://www.hopitaux-sarreguemines.fr/Style/bootstrap/bootamc.css	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Style/bootstrap/bootamc.css	(from https://www.hopitaux-sarreguemines.fr/)
16:02:42	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228028388977ad11:0%22	https://www.hopitaux-sarreguemines.fr/Scripts/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Scripts/bootstrap/bootstrap.min.js	(from https://www.hopitaux-sarreguemines.fr/)
16:02:42	1831/1831	---M-Z	200	added ('OK')	application/javascript	etag:%2204815fa426d11:0%22	https://www.hopitaux-sarreguemines.fr/Scripts/bootstrap/transition.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Scripts/bootstrap/transition.js	(from https://www.hopitaux-sarreguemines.fr/)
16:02:43	5963/5963	---M-Z	200	added ('OK')	application/javascript	etag:%2204815fa426d11:0%22	https://www.hopitaux-sarreguemines.fr/Scripts/bootstrap/collapse.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Scripts/bootstrap/collapse.js	(from https://www.hopitaux-sarreguemines.fr/)
16:02:43	924/924	---M-Z	200	added ('OK')	text/css	etag:%2205d35e6c124d11:0%22	https://www.hopitaux-sarreguemines.fr/Style/bootstrap/ekko-lightbox.min.css	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Style/bootstrap/ekko-lightbox.min.css	(from https://www.hopitaux-sarreguemines.fr/)
16:02:43	11668/11668	---M-Z	200	added ('OK')	application/javascript	etag:%2205d35e6c124d11:0%22	https://www.hopitaux-sarreguemines.fr/Scripts/bootstrap/ekko-lightbox.min.js	C:/My%20Web%20Sites/PROJET%20SITE%20WEB/www.hopitaux-sarreguemines.fr/Scripts/bootstrap/ekko-lightbox.min.js	(from https://www.hopitaux-sarreguemines.fr/)
